"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","'@fadjroeL mah gitu orangnya' http://t.co/mOIJcBedz7",FALSE,0,NA,2015-04-28 13:09:05,FALSE,NA,"593039230261006336",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",0,FALSE,FALSE,NA,NA
"2","Ajak Buruh Duduki Istana, Rieke: Saya Minta Maaf Dulu Ajak Coblos Jokowi http://t.co/rqJB1zsWaP",FALSE,1,NA,2015-04-28 13:09:05,FALSE,NA,"593039229485125632",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",5,FALSE,FALSE,NA,NA
"3","Kaidah Kebahagiaan Suami Istri: 'Menikahlah sekali lagi..' http://t.co/OSRbvrVWjH",FALSE,0,NA,2015-04-28 13:09:04,FALSE,NA,"593039228503658498",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","maspiyungan",1,FALSE,FALSE,NA,NA
"4","RT @iiirman: Mudahnya membolakbalik lidah tuh.. ""@selenakoe: MODUS @maspiyungan:.Rieke: Saya Minta Maaf.. http://t.co/zwSUww23Ie http://t.c…",FALSE,0,NA,2015-04-28 13:03:24,FALSE,NA,"593037802025066496",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",6,TRUE,FALSE,NA,NA
"5","Jadi... netizen beranggapan kritisnya Oneng ke Jokowi hanya manuver untuk cari dukungan di Pilwalkot Depok.",FALSE,2,NA,2015-04-28 13:02:43,FALSE,NA,"593037629811236864",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",10,FALSE,FALSE,NA,NA
"6","RT @ArdiHilal: Cari dukungan/simpati utk  jadi walkot depok kah ? @maspiyungan: Ajak Buruh Duduki Istana, Rieke: Saya Minta Maaf Dulu Ajak …",FALSE,0,NA,2015-04-28 13:01:46,FALSE,NA,"593037390773489664",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",4,TRUE,FALSE,NA,NA
"7","RT @dsubhan79: Ada Apa Ni Oneng Jd Brbah Gni""@maspiyungan: Ajak Buruh Duduki Istana, Rieke: Saya Minta Maaf Dulu Ajak Coblos Jokowi http://…",FALSE,0,NA,2015-04-28 13:01:41,FALSE,NA,"593037368598269952",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",6,TRUE,FALSE,NA,NA
"8","RT @eps_elhidayah: @maspiyungan trus... dia mau ngajak buruh supaya milih dia, ntar klo ga becus baru minta maaf lg. enak bngeut minta maaf…",FALSE,0,NA,2015-04-28 13:01:36,FALSE,NA,"593037349547745281",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",3,TRUE,FALSE,NA,NA
"9","RT @Mrh4mz4h: @maspiyungan dia mah pgn jd walikota depok mknya ngomong gitu",FALSE,0,NA,2015-04-28 13:01:29,FALSE,NA,"593037319734579200",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",4,TRUE,FALSE,NA,NA
"10","RT @IwanBright: Action aja dulu.... wacana melulu... acting jadi peran apa nih ? Bukan bang bajuri kan ? https://t.co/fr4WU7LMEQ",FALSE,0,NA,2015-04-28 12:59:35,FALSE,NA,"593036839692337152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maspiyungan",1,TRUE,FALSE,NA,NA
"11","'@fadjroeL mah gitu orangnya' http://t.co/KMiFTkpf77 http://t.co/n4Y3LrVLiB",FALSE,0,NA,2015-04-28 12:57:32,FALSE,NA,"593036326380834816",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",7,FALSE,FALSE,NA,NA
"12","'@fadjroeL mah gitu orangnya' http://t.co/KMiFTkpf77",FALSE,0,NA,2015-04-28 12:56:08,FALSE,NA,"593035971303604224",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","maspiyungan",0,FALSE,FALSE,NA,NA
"13","RT @agungriensya: Minta jatah tuh RT @maspiyungan: Ajak Buruh Duduki Istana, Rieke: Saya Minta Maaf Dulu Ajak Coblos Jokowi http://t.co/Two…",FALSE,0,NA,2015-04-28 12:55:15,FALSE,NA,"593035749026504705",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"14","RT @Epilog_Negeri: ”Oneng lg akting ya min? @maspiyungan: Ajak Buruh Duduki Istana, Rieke: Saya Minta Maaf Dulu Ajak Coblos Jokowi http://t…",FALSE,0,NA,2015-04-28 12:55:11,FALSE,NA,"593035733394305024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",6,TRUE,FALSE,NA,NA
"15","RT @Hasan_Ramli: @maspiyungan jgn lupa Rieke ini artis, drama mah makanan dia sehari2..",FALSE,0,NA,2015-04-28 12:55:08,FALSE,NA,"593035718999416832",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",2,TRUE,FALSE,NA,NA
"16","RT @selenakoe: MODUS @maspiyungan: Ajak Buruh Duduki Istana, Rieke: Saya Minta Maaf Dulu Ajak Coblos Jokowi http://t.co/y7OYxMgz51 http://t…",FALSE,0,NA,2015-04-28 12:53:11,FALSE,NA,"593035228110696449",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",5,TRUE,FALSE,NA,NA
"17","RT @ifan010: @maspiyungan GAK USAH PERCAYA......BANYAK PEMBOHONGGGGGGG",FALSE,0,NA,2015-04-28 12:52:57,FALSE,NA,"593035169746915329",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maspiyungan",1,TRUE,FALSE,NA,NA
